Folder,Region,District,Suitable_Crop,Market_Price,Govt_Schemes,Weather_Requirements,Fertilizers
Northern_Karnataka,Northern Karnataka,Dharwad,Jowar,₹3371/qtl,"PMFBY Crop Insurance, PM-KISAN","20-32°C, 400-1000mm annual rainfall","40:20:20 NPK kg/ha; Urea, DAP"
Northern_Karnataka,Northern Karnataka,Dharwad,Maize,₹2400/qtl,"PMFBY Crop Insurance, PM-KISAN, State subsidy on seeds","18-27°C, 500-800mm, well-drained soil","120:60:40 NPK kg/ha; Urea, DAP, MOP"
Northern_Karnataka,Northern Karnataka,Dharwad,Cotton,₹6120/qtl,"PMFBY, MSP for Cotton","21-30°C, 600-1200mm, dry during harvest","75:40:40 NPK kg/ha; Urea, DAP, Potash"
Northern_Karnataka,Northern Karnataka,Dharwad,Pulses,₹6000/qtl,"PMFBY, National Food Security Mission","18-27°C, 600-1200mm",20:40:40 NPK kg/ha; No heavy N needed
Northern_Karnataka,Northern Karnataka,Dharwad,Groundnut,₹5700/qtl,"PMFBY, Groundnut Oilseed Subsidy","25-30°C, 500-1000mm, sunny","20:40:40 NPK kg/ha; Gypsum, SSP"
Northern_Karnataka,Northern Karnataka,Dharwad,Sunflower,₹5215/qtl,"PM-KISAN, PMFBY",Varies,Consult local agri office
Northern_Karnataka,Northern Karnataka,Dharwad,Sugarcane,₹340/qtl,"PMFBY, Subvention for Drip, Sugarcane Price Incentive","20-38°C, 1100-1500mm, humid","250:115:115 NPK kg/ha; Urea, DAP, Potash"
Northern_Karnataka,Northern Karnataka,Dharwad,Wheat,₹2275/qtl,"PMFBY, MSP for Wheat","10-25°C, 120-150 frost-free days","120:60:40 NPK kg/ha; Urea, DAP"
Northern_Karnataka,Northern Karnataka,Dharwad,Tobacco,₹18000/qtl,"PM-KISAN, PMFBY",Varies,Consult local agri office
Northern_Karnataka,Northern Karnataka,Gadag,Jowar,₹3371/qtl,"PMFBY Crop Insurance, PM-KISAN","20-32°C, 400-1000mm annual rainfall","40:20:20 NPK kg/ha; Urea, DAP"
Northern_Karnataka,Northern Karnataka,Gadag,Maize,₹2400/qtl,"PMFBY Crop Insurance, PM-KISAN, State subsidy on seeds","18-27°C, 500-800mm, well-drained soil","120:60:40 NPK kg/ha; Urea, DAP, MOP"
Northern_Karnataka,Northern Karnataka,Gadag,Cotton,₹6120/qtl,"PMFBY, MSP for Cotton","21-30°C, 600-1200mm, dry during harvest","75:40:40 NPK kg/ha; Urea, DAP, Potash"
Northern_Karnataka,Northern Karnataka,Gadag,Pulses,₹6000/qtl,"PMFBY, National Food Security Mission","18-27°C, 600-1200mm",20:40:40 NPK kg/ha; No heavy N needed
Northern_Karnataka,Northern Karnataka,Gadag,Groundnut,₹5700/qtl,"PMFBY, Groundnut Oilseed Subsidy","25-30°C, 500-1000mm, sunny","20:40:40 NPK kg/ha; Gypsum, SSP"
Northern_Karnataka,Northern Karnataka,Gadag,Sunflower,₹5215/qtl,"PM-KISAN, PMFBY",Varies,Consult local agri office
Northern_Karnataka,Northern Karnataka,Gadag,Sugarcane,₹340/qtl,"PMFBY, Subvention for Drip, Sugarcane Price Incentive","20-38°C, 1100-1500mm, humid","250:115:115 NPK kg/ha; Urea, DAP, Potash"
Northern_Karnataka,Northern Karnataka,Gadag,Wheat,₹2275/qtl,"PMFBY, MSP for Wheat","10-25°C, 120-150 frost-free days","120:60:40 NPK kg/ha; Urea, DAP"
Northern_Karnataka,Northern Karnataka,Gadag,Tobacco,₹18000/qtl,"PM-KISAN, PMFBY",Varies,Consult local agri office
Northern_Karnataka,Northern Karnataka,Haveri,Jowar,₹3371/qtl,"PMFBY Crop Insurance, PM-KISAN","20-32°C, 400-1000mm annual rainfall","40:20:20 NPK kg/ha; Urea, DAP"
Northern_Karnataka,Northern Karnataka,Haveri,Maize,₹2400/qtl,"PMFBY Crop Insurance, PM-KISAN, State subsidy on seeds","18-27°C, 500-800mm, well-drained soil","120:60:40 NPK kg/ha; Urea, DAP, MOP"
Northern_Karnataka,Northern Karnataka,Haveri,Cotton,₹6120/qtl,"PMFBY, MSP for Cotton","21-30°C, 600-1200mm, dry during harvest","75:40:40 NPK kg/ha; Urea, DAP, Potash"
Northern_Karnataka,Northern Karnataka,Haveri,Pulses,₹6000/qtl,"PMFBY, National Food Security Mission","18-27°C, 600-1200mm",20:40:40 NPK kg/ha; No heavy N needed
Northern_Karnataka,Northern Karnataka,Haveri,Groundnut,₹5700/qtl,"PMFBY, Groundnut Oilseed Subsidy","25-30°C, 500-1000mm, sunny","20:40:40 NPK kg/ha; Gypsum, SSP"
Northern_Karnataka,Northern Karnataka,Haveri,Sunflower,₹5215/qtl,"PM-KISAN, PMFBY",Varies,Consult local agri office
Northern_Karnataka,Northern Karnataka,Haveri,Sugarcane,₹340/qtl,"PMFBY, Subvention for Drip, Sugarcane Price Incentive","20-38°C, 1100-1500mm, humid","250:115:115 NPK kg/ha; Urea, DAP, Potash"
Northern_Karnataka,Northern Karnataka,Haveri,Wheat,₹2275/qtl,"PMFBY, MSP for Wheat","10-25°C, 120-150 frost-free days","120:60:40 NPK kg/ha; Urea, DAP"
Northern_Karnataka,Northern Karnataka,Haveri,Tobacco,₹18000/qtl,"PM-KISAN, PMFBY",Varies,Consult local agri office
Northern_Karnataka,Northern Karnataka,Kalaburagi,Jowar,₹3371/qtl,"PMFBY Crop Insurance, PM-KISAN","20-32°C, 400-1000mm annual rainfall","40:20:20 NPK kg/ha; Urea, DAP"
Northern_Karnataka,Northern Karnataka,Kalaburagi,Maize,₹2400/qtl,"PMFBY Crop Insurance, PM-KISAN, State subsidy on seeds","18-27°C, 500-800mm, well-drained soil","120:60:40 NPK kg/ha; Urea, DAP, MOP"
Northern_Karnataka,Northern Karnataka,Kalaburagi,Cotton,₹6120/qtl,"PMFBY, MSP for Cotton","21-30°C, 600-1200mm, dry during harvest","75:40:40 NPK kg/ha; Urea, DAP, Potash"
Northern_Karnataka,Northern Karnataka,Kalaburagi,Pulses,₹6000/qtl,"PMFBY, National Food Security Mission","18-27°C, 600-1200mm",20:40:40 NPK kg/ha; No heavy N needed
Northern_Karnataka,Northern Karnataka,Kalaburagi,Groundnut,₹5700/qtl,"PMFBY, Groundnut Oilseed Subsidy","25-30°C, 500-1000mm, sunny","20:40:40 NPK kg/ha; Gypsum, SSP"
Northern_Karnataka,Northern Karnataka,Kalaburagi,Sunflower,₹5215/qtl,"PM-KISAN, PMFBY",Varies,Consult local agri office
Northern_Karnataka,Northern Karnataka,Kalaburagi,Sugarcane,₹340/qtl,"PMFBY, Subvention for Drip, Sugarcane Price Incentive","20-38°C, 1100-1500mm, humid","250:115:115 NPK kg/ha; Urea, DAP, Potash"
Northern_Karnataka,Northern Karnataka,Kalaburagi,Wheat,₹2275/qtl,"PMFBY, MSP for Wheat","10-25°C, 120-150 frost-free days","120:60:40 NPK kg/ha; Urea, DAP"
Northern_Karnataka,Northern Karnataka,Kalaburagi,Tobacco,₹18000/qtl,"PM-KISAN, PMFBY",Varies,Consult local agri office
Northern_Karnataka,Northern Karnataka,Koppal,Jowar,₹3371/qtl,"PMFBY Crop Insurance, PM-KISAN","20-32°C, 400-1000mm annual rainfall","40:20:20 NPK kg/ha; Urea, DAP"
Northern_Karnataka,Northern Karnataka,Koppal,Maize,₹2400/qtl,"PMFBY Crop Insurance, PM-KISAN, State subsidy on seeds","18-27°C, 500-800mm, well-drained soil","120:60:40 NPK kg/ha; Urea, DAP, MOP"
Northern_Karnataka,Northern Karnataka,Koppal,Cotton,₹6120/qtl,"PMFBY, MSP for Cotton","21-30°C, 600-1200mm, dry during harvest","75:40:40 NPK kg/ha; Urea, DAP, Potash"
Northern_Karnataka,Northern Karnataka,Koppal,Pulses,₹6000/qtl,"PMFBY, National Food Security Mission","18-27°C, 600-1200mm",20:40:40 NPK kg/ha; No heavy N needed
Northern_Karnataka,Northern Karnataka,Koppal,Groundnut,₹5700/qtl,"PMFBY, Groundnut Oilseed Subsidy","25-30°C, 500-1000mm, sunny","20:40:40 NPK kg/ha; Gypsum, SSP"
Northern_Karnataka,Northern Karnataka,Koppal,Sunflower,₹5215/qtl,"PM-KISAN, PMFBY",Varies,Consult local agri office
Northern_Karnataka,Northern Karnataka,Koppal,Sugarcane,₹340/qtl,"PMFBY, Subvention for Drip, Sugarcane Price Incentive","20-38°C, 1100-1500mm, humid","250:115:115 NPK kg/ha; Urea, DAP, Potash"
Northern_Karnataka,Northern Karnataka,Koppal,Wheat,₹2275/qtl,"PMFBY, MSP for Wheat","10-25°C, 120-150 frost-free days","120:60:40 NPK kg/ha; Urea, DAP"
Northern_Karnataka,Northern Karnataka,Koppal,Tobacco,₹18000/qtl,"PM-KISAN, PMFBY",Varies,Consult local agri office
Northern_Karnataka,Northern Karnataka,Raichur,Jowar,₹3371/qtl,"PMFBY Crop Insurance, PM-KISAN","20-32°C, 400-1000mm annual rainfall","40:20:20 NPK kg/ha; Urea, DAP"
Northern_Karnataka,Northern Karnataka,Raichur,Maize,₹2400/qtl,"PMFBY Crop Insurance, PM-KISAN, State subsidy on seeds","18-27°C, 500-800mm, well-drained soil","120:60:40 NPK kg/ha; Urea, DAP, MOP"
Northern_Karnataka,Northern Karnataka,Raichur,Cotton,₹6120/qtl,"PMFBY, MSP for Cotton","21-30°C, 600-1200mm, dry during harvest","75:40:40 NPK kg/ha; Urea, DAP, Potash"
Northern_Karnataka,Northern Karnataka,Raichur,Pulses,₹6000/qtl,"PMFBY, National Food Security Mission","18-27°C, 600-1200mm",20:40:40 NPK kg/ha; No heavy N needed
Northern_Karnataka,Northern Karnataka,Raichur,Groundnut,₹5700/qtl,"PMFBY, Groundnut Oilseed Subsidy","25-30°C, 500-1000mm, sunny","20:40:40 NPK kg/ha; Gypsum, SSP"
Northern_Karnataka,Northern Karnataka,Raichur,Sunflower,₹5215/qtl,"PM-KISAN, PMFBY",Varies,Consult local agri office
Northern_Karnataka,Northern Karnataka,Raichur,Sugarcane,₹340/qtl,"PMFBY, Subvention for Drip, Sugarcane Price Incentive","20-38°C, 1100-1500mm, humid","250:115:115 NPK kg/ha; Urea, DAP, Potash"
Northern_Karnataka,Northern Karnataka,Raichur,Wheat,₹2275/qtl,"PMFBY, MSP for Wheat","10-25°C, 120-150 frost-free days","120:60:40 NPK kg/ha; Urea, DAP"
Northern_Karnataka,Northern Karnataka,Raichur,Tobacco,₹18000/qtl,"PM-KISAN, PMFBY",Varies,Consult local agri office
Northern_Karnataka,Northern Karnataka,Vijayapura,Jowar,₹3371/qtl,"PMFBY Crop Insurance, PM-KISAN","20-32°C, 400-1000mm annual rainfall","40:20:20 NPK kg/ha; Urea, DAP"
Northern_Karnataka,Northern Karnataka,Vijayapura,Maize,₹2400/qtl,"PMFBY Crop Insurance, PM-KISAN, State subsidy on seeds","18-27°C, 500-800mm, well-drained soil","120:60:40 NPK kg/ha; Urea, DAP, MOP"
Northern_Karnataka,Northern Karnataka,Vijayapura,Cotton,₹6120/qtl,"PMFBY, MSP for Cotton","21-30°C, 600-1200mm, dry during harvest","75:40:40 NPK kg/ha; Urea, DAP, Potash"
Northern_Karnataka,Northern Karnataka,Vijayapura,Pulses,₹6000/qtl,"PMFBY, National Food Security Mission","18-27°C, 600-1200mm",20:40:40 NPK kg/ha; No heavy N needed
Northern_Karnataka,Northern Karnataka,Vijayapura,Groundnut,₹5700/qtl,"PMFBY, Groundnut Oilseed Subsidy","25-30°C, 500-1000mm, sunny","20:40:40 NPK kg/ha; Gypsum, SSP"
Northern_Karnataka,Northern Karnataka,Vijayapura,Sunflower,₹5215/qtl,"PM-KISAN, PMFBY",Varies,Consult local agri office
Northern_Karnataka,Northern Karnataka,Vijayapura,Sugarcane,₹340/qtl,"PMFBY, Subvention for Drip, Sugarcane Price Incentive","20-38°C, 1100-1500mm, humid","250:115:115 NPK kg/ha; Urea, DAP, Potash"
Northern_Karnataka,Northern Karnataka,Vijayapura,Wheat,₹2275/qtl,"PMFBY, MSP for Wheat","10-25°C, 120-150 frost-free days","120:60:40 NPK kg/ha; Urea, DAP"
Northern_Karnataka,Northern Karnataka,Vijayapura,Tobacco,₹18000/qtl,"PM-KISAN, PMFBY",Varies,Consult local agri office
Northern_Karnataka,Northern Karnataka,Yadgir,Jowar,₹3371/qtl,"PMFBY Crop Insurance, PM-KISAN","20-32°C, 400-1000mm annual rainfall","40:20:20 NPK kg/ha; Urea, DAP"
Northern_Karnataka,Northern Karnataka,Yadgir,Maize,₹2400/qtl,"PMFBY Crop Insurance, PM-KISAN, State subsidy on seeds","18-27°C, 500-800mm, well-drained soil","120:60:40 NPK kg/ha; Urea, DAP, MOP"
Northern_Karnataka,Northern Karnataka,Yadgir,Cotton,₹6120/qtl,"PMFBY, MSP for Cotton","21-30°C, 600-1200mm, dry during harvest","75:40:40 NPK kg/ha; Urea, DAP, Potash"
Northern_Karnataka,Northern Karnataka,Yadgir,Pulses,₹6000/qtl,"PMFBY, National Food Security Mission","18-27°C, 600-1200mm",20:40:40 NPK kg/ha; No heavy N needed
Northern_Karnataka,Northern Karnataka,Yadgir,Groundnut,₹5700/qtl,"PMFBY, Groundnut Oilseed Subsidy","25-30°C, 500-1000mm, sunny","20:40:40 NPK kg/ha; Gypsum, SSP"
Northern_Karnataka,Northern Karnataka,Yadgir,Sunflower,₹5215/qtl,"PM-KISAN, PMFBY",Varies,Consult local agri office
Northern_Karnataka,Northern Karnataka,Yadgir,Sugarcane,₹340/qtl,"PMFBY, Subvention for Drip, Sugarcane Price Incentive","20-38°C, 1100-1500mm, humid","250:115:115 NPK kg/ha; Urea, DAP, Potash"
Northern_Karnataka,Northern Karnataka,Yadgir,Wheat,₹2275/qtl,"PMFBY, MSP for Wheat","10-25°C, 120-150 frost-free days","120:60:40 NPK kg/ha; Urea, DAP"
Northern_Karnataka,Northern Karnataka,Yadgir,Tobacco,₹18000/qtl,"PM-KISAN, PMFBY",Varies,Consult local agri office
Northern_Karnataka,Northern Karnataka,Vijayanagara,Jowar,₹3371/qtl,"PMFBY Crop Insurance, PM-KISAN","20-32°C, 400-1000mm annual rainfall","40:20:20 NPK kg/ha; Urea, DAP"
Northern_Karnataka,Northern Karnataka,Vijayanagara,Maize,₹2400/qtl,"PMFBY Crop Insurance, PM-KISAN, State subsidy on seeds","18-27°C, 500-800mm, well-drained soil","120:60:40 NPK kg/ha; Urea, DAP, MOP"
Northern_Karnataka,Northern Karnataka,Vijayanagara,Cotton,₹6120/qtl,"PMFBY, MSP for Cotton","21-30°C, 600-1200mm, dry during harvest","75:40:40 NPK kg/ha; Urea, DAP, Potash"
Northern_Karnataka,Northern Karnataka,Vijayanagara,Pulses,₹6000/qtl,"PMFBY, National Food Security Mission","18-27°C, 600-1200mm",20:40:40 NPK kg/ha; No heavy N needed
Northern_Karnataka,Northern Karnataka,Vijayanagara,Groundnut,₹5700/qtl,"PMFBY, Groundnut Oilseed Subsidy","25-30°C, 500-1000mm, sunny","20:40:40 NPK kg/ha; Gypsum, SSP"
Northern_Karnataka,Northern Karnataka,Vijayanagara,Sunflower,₹5215/qtl,"PM-KISAN, PMFBY",Varies,Consult local agri office
Northern_Karnataka,Northern Karnataka,Vijayanagara,Sugarcane,₹340/qtl,"PMFBY, Subvention for Drip, Sugarcane Price Incentive","20-38°C, 1100-1500mm, humid","250:115:115 NPK kg/ha; Urea, DAP, Potash"
Northern_Karnataka,Northern Karnataka,Vijayanagara,Wheat,₹2275/qtl,"PMFBY, MSP for Wheat","10-25°C, 120-150 frost-free days","120:60:40 NPK kg/ha; Urea, DAP"
Northern_Karnataka,Northern Karnataka,Vijayanagara,Tobacco,₹18000/qtl,"PM-KISAN, PMFBY",Varies,Consult local agri office
Plateau_Region,Plateau Region,Bellary,Paddy,₹2320/qtl,"PMFBY Crop Insurance, Minimum Support Price Scheme","20-35°C, 1000-2000mm, standing water","60:30:30 NPK kg/ha; Urea, SSP, MOP"
Plateau_Region,Plateau Region,Bellary,Ragi,₹3500/qtl,"MSP, Subsidised Seeds","22-32°C, drought-resistant","40:20:20 NPK kg/ha; Urea, DAP"
Plateau_Region,Plateau Region,Bellary,Jowar,₹3371/qtl,"PMFBY Crop Insurance, PM-KISAN","20-32°C, 400-1000mm annual rainfall","40:20:20 NPK kg/ha; Urea, DAP"
Plateau_Region,Plateau Region,Bellary,Maize,₹2400/qtl,"PMFBY Crop Insurance, PM-KISAN, State subsidy on seeds","18-27°C, 500-800mm, well-drained soil","120:60:40 NPK kg/ha; Urea, DAP, MOP"
Plateau_Region,Plateau Region,Bellary,Sugarcane,₹340/qtl,"PMFBY, Subvention for Drip, Sugarcane Price Incentive","20-38°C, 1100-1500mm, humid","250:115:115 NPK kg/ha; Urea, DAP, Potash"
Plateau_Region,Plateau Region,Bellary,Groundnut,₹5700/qtl,"PMFBY, Groundnut Oilseed Subsidy","25-30°C, 500-1000mm, sunny","20:40:40 NPK kg/ha; Gypsum, SSP"
Plateau_Region,Plateau Region,Bellary,Finger Millet,₹3500/qtl,"PM-KISAN, PMFBY",Varies,Consult local agri office
Plateau_Region,Plateau Region,Bellary,Chickpea,₹5230/qtl,"PM-KISAN, PMFBY",Varies,Consult local agri office
Plateau_Region,Plateau Region,Bellary,Cotton,₹6120/qtl,"PMFBY, MSP for Cotton","21-30°C, 600-1200mm, dry during harvest","75:40:40 NPK kg/ha; Urea, DAP, Potash"
Plateau_Region,Plateau Region,Chamarajanagar,Paddy,₹2320/qtl,"PMFBY Crop Insurance, Minimum Support Price Scheme","20-35°C, 1000-2000mm, standing water","60:30:30 NPK kg/ha; Urea, SSP, MOP"
Plateau_Region,Plateau Region,Chamarajanagar,Ragi,₹3500/qtl,"MSP, Subsidised Seeds","22-32°C, drought-resistant","40:20:20 NPK kg/ha; Urea, DAP"
Plateau_Region,Plateau Region,Chamarajanagar,Jowar,₹3371/qtl,"PMFBY Crop Insurance, PM-KISAN","20-32°C, 400-1000mm annual rainfall","40:20:20 NPK kg/ha; Urea, DAP"
Plateau_Region,Plateau Region,Chamarajanagar,Maize,₹2400/qtl,"PMFBY Crop Insurance, PM-KISAN, State subsidy on seeds","18-27°C, 500-800mm, well-drained soil","120:60:40 NPK kg/ha; Urea, DAP, MOP"
Plateau_Region,Plateau Region,Chamarajanagar,Sugarcane,₹340/qtl,"PMFBY, Subvention for Drip, Sugarcane Price Incentive","20-38°C, 1100-1500mm, humid","250:115:115 NPK kg/ha; Urea, DAP, Potash"
Plateau_Region,Plateau Region,Chamarajanagar,Groundnut,₹5700/qtl,"PMFBY, Groundnut Oilseed Subsidy","25-30°C, 500-1000mm, sunny","20:40:40 NPK kg/ha; Gypsum, SSP"
Plateau_Region,Plateau Region,Chamarajanagar,Finger Millet,₹3500/qtl,"PM-KISAN, PMFBY",Varies,Consult local agri office
Plateau_Region,Plateau Region,Chamarajanagar,Chickpea,₹5230/qtl,"PM-KISAN, PMFBY",Varies,Consult local agri office
Plateau_Region,Plateau Region,Chamarajanagar,Cotton,₹6120/qtl,"PMFBY, MSP for Cotton","21-30°C, 600-1200mm, dry during harvest","75:40:40 NPK kg/ha; Urea, DAP, Potash"
Plateau_Region,Plateau Region,Chikballapur,Paddy,₹2320/qtl,"PMFBY Crop Insurance, Minimum Support Price Scheme","20-35°C, 1000-2000mm, standing water","60:30:30 NPK kg/ha; Urea, SSP, MOP"
Plateau_Region,Plateau Region,Chikballapur,Ragi,₹3500/qtl,"MSP, Subsidised Seeds","22-32°C, drought-resistant","40:20:20 NPK kg/ha; Urea, DAP"
Plateau_Region,Plateau Region,Chikballapur,Jowar,₹3371/qtl,"PMFBY Crop Insurance, PM-KISAN","20-32°C, 400-1000mm annual rainfall","40:20:20 NPK kg/ha; Urea, DAP"
Plateau_Region,Plateau Region,Chikballapur,Maize,₹2400/qtl,"PMFBY Crop Insurance, PM-KISAN, State subsidy on seeds","18-27°C, 500-800mm, well-drained soil","120:60:40 NPK kg/ha; Urea, DAP, MOP"
Plateau_Region,Plateau Region,Chikballapur,Sugarcane,₹340/qtl,"PMFBY, Subvention for Drip, Sugarcane Price Incentive","20-38°C, 1100-1500mm, humid","250:115:115 NPK kg/ha; Urea, DAP, Potash"
Plateau_Region,Plateau Region,Chikballapur,Groundnut,₹5700/qtl,"PMFBY, Groundnut Oilseed Subsidy","25-30°C, 500-1000mm, sunny","20:40:40 NPK kg/ha; Gypsum, SSP"
Plateau_Region,Plateau Region,Chikballapur,Finger Millet,₹3500/qtl,"PM-KISAN, PMFBY",Varies,Consult local agri office
Plateau_Region,Plateau Region,Chikballapur,Chickpea,₹5230/qtl,"PM-KISAN, PMFBY",Varies,Consult local agri office
Plateau_Region,Plateau Region,Chikballapur,Cotton,₹6120/qtl,"PMFBY, MSP for Cotton","21-30°C, 600-1200mm, dry during harvest","75:40:40 NPK kg/ha; Urea, DAP, Potash"
Plateau_Region,Plateau Region,Chitradurga,Paddy,₹2320/qtl,"PMFBY Crop Insurance, Minimum Support Price Scheme","20-35°C, 1000-2000mm, standing water","60:30:30 NPK kg/ha; Urea, SSP, MOP"
Plateau_Region,Plateau Region,Chitradurga,Ragi,₹3500/qtl,"MSP, Subsidised Seeds","22-32°C, drought-resistant","40:20:20 NPK kg/ha; Urea, DAP"
Plateau_Region,Plateau Region,Chitradurga,Jowar,₹3371/qtl,"PMFBY Crop Insurance, PM-KISAN","20-32°C, 400-1000mm annual rainfall","40:20:20 NPK kg/ha; Urea, DAP"
Plateau_Region,Plateau Region,Chitradurga,Maize,₹2400/qtl,"PMFBY Crop Insurance, PM-KISAN, State subsidy on seeds","18-27°C, 500-800mm, well-drained soil","120:60:40 NPK kg/ha; Urea, DAP, MOP"
Plateau_Region,Plateau Region,Chitradurga,Sugarcane,₹340/qtl,"PMFBY, Subvention for Drip, Sugarcane Price Incentive","20-38°C, 1100-1500mm, humid","250:115:115 NPK kg/ha; Urea, DAP, Potash"
Plateau_Region,Plateau Region,Chitradurga,Groundnut,₹5700/qtl,"PMFBY, Groundnut Oilseed Subsidy","25-30°C, 500-1000mm, sunny","20:40:40 NPK kg/ha; Gypsum, SSP"
Plateau_Region,Plateau Region,Chitradurga,Finger Millet,₹3500/qtl,"PM-KISAN, PMFBY",Varies,Consult local agri office
Plateau_Region,Plateau Region,Chitradurga,Chickpea,₹5230/qtl,"PM-KISAN, PMFBY",Varies,Consult local agri office
